[2026-06-08 00:47:44] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 6, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2026-06-07T22:47:46.870000+00:00', 'pinned': False, 'nonce': '3234522917421465475', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1511176220916715600', '1513238771833770198'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-06-07T17:50:37.949000+00:00', 'flags': 1, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1513313552281108491', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '⛧ 4 - 34 = -30', 'components': [], 'channel_type': 0, 'channel_id': '1511177639497433108', 'author': {'username': '⛧ 𝑵ᴏᴄᴛᴀʀɪᴜᴍ', 'public_flags': 0, 'primary_guild': None, 'id': '1511181084115730432', 'global_name': None, 'display_name_styles': None, 'discriminator': '2141', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': '62faf5f4ddf4458d656e9b4c568bb644'}, 'attachments': [], 'guild_id': '1510609839473168604'}}
[2026-06-08 00:47:44] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-06-08 00:47:44] [DEBUG   ] discord.client: Dispatching event message
[2026-06-08 00:47:44] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1511177639497433108/messages with {"content":"\u26e7 4 - 34 = -30","components":[],"nonce":"3234522917421465475","enforce_nonce":true,"tts":false} has returned 200
[2026-06-08 00:47:44] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1511177639497433108/messages has received {'type': 0, 'content': '⛧ 4 - 34 = -30', 'mentions': [], 'mention_roles': [], 'attachments': [], 'embeds': [], 'timestamp': '2026-06-07T22:47:46.870000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1513313552281108491', 'channel_id': '1511177639497433108', 'author': {'id': '1511181084115730432', 'username': '⛧ 𝑵ᴏᴄᴛᴀʀɪᴜᴍ', 'avatar': '62faf5f4ddf4458d656e9b4c568bb644', 'discriminator': '2141', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': '87720b62e7066328378f6bc96cce3fe7', 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'nonce': '3234522917421465475'}
[2026-06-08 00:47:44] [DEBUG   ] discord.client: Dispatching event command_completion
[2026-06-08 00:47:47] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'TYPING_START', 's': 7, 'op': 0, 'd': {'user_id': '344926275942481930', 'timestamp': 1780872469, 'member': {'user': {'username': 'ret_', 'public_flags': 0, 'primary_guild': {'tag': 'Moon', 'identity_guild_id': '884363610640498698', 'identity_enabled': True, 'badge': '5e6b8ec3edb91bbd32dc0f86cf934622'}, 'id': '344926275942481930', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '0', 'collectibles': {'nameplate': {'sku_id': '1409898407920668782', 'palette': 'cobalt', 'label': 'COLLECTIBLES_LUNAR_ECLIPSE_MOONLIT_CHARM_NP_A11Y', 'expires_at': None, 'asset': 'nameplates/lunar_eclipse/moonlit_charm/'}}, 'bot': False, 'avatar_decoration_data': None, 'avatar': '5540fc513bf22281e0a2113022f02a72'}, 'roles': ['1511176220916715600', '1511176662195245209'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-05-31T11:44:11.522000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'channel_id': '1511177639497433108', 'guild_id': '1510609839473168604'}}
[2026-06-08 00:47:47] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-06-08 00:47:47] [DEBUG   ] discord.client: Dispatching event typing
[2026-06-08 00:47:47] [DEBUG   ] discord.client: Dispatching event raw_typing
